"","keylist_data","Freq"
"1174","6,986",2
"1175","6,992",1
"1176","6.",1
"1177","6.23",1
"1178","6.3",1
"1179","6.50",1
"1180","6.99",1
"1181","60",29
"1182","60,000",2
"1183","60,022",1
"1184","60,681",1
"1185","60,974",9
"1186","605",1
"1187","606",2
"1188","607",1
"1189","61",20
"1190","61,296",5
"1191","61,863",1
"1192","61,864",1
"1193","611",2
"1194","62",10
"1195","62,007",1
"1196","62,319",1
"1197","62,913",1
"1198","62,959",1
"1199","62,998",1
"1200","63",20
"1201","63,173",1
"1202","63,559",2
"1203","63,592",1
"1204","63,861",2
"1205","632",1
"1206","636",2
"1207","638",2
"1208","64",15
"1209","64,000",1
"1210","64,424",1
"1211","64,601",1
"1212","64,602",1
"1213","64.4",2
"1214","65",10
"1215","65.3",3
"1216","657",1
"1217","658",2
"1218","66",32
"1219","66,822",2
"1220","66,945",2
"1221","66,963",2
"1222","66,976",1
"1223","667",2
"1224","67",30
"1225","67,281",1
"1226","67,304",1
"1227","67,856",1
"1228","67.3",1
"1229","671",1
"1230","672",1
"1231","674",1
"1232","679",1
"1233","68",24
"1234","68,000",3
"1235","68,300",1
"1236","68,362",2
"1237","68,500",1
"1238","683",2
"1239","69",18
"1240","69,940",4
"1241","69.",1
"1242","69.0",1
"1243","696",2
"1244","698",3
"1245","6개사(이하",1
"1246","7,184",2
"1247","7,336",1
"1248","7,374",2
"1249","7,400",1
"1250","7,401",1
"1251","7,405",1
"1252","7,422",1
"1253","7,431",6
"1254","7,446",2
"1255","7,457",1
"1256","7,533",2
"1257","7,565",1
"1258","7,630",1
"1259","7,897",1
"1260","7,969",1
"1261","7.",1
"1262","7.4",1
"1263","7.75",1
"1264","70",22
"1265","70,095",2
"1266","70,306",1
"1267","70,500",3
"1268","70,560",2
"1269","70,588",2
"1270","70,743",1
"1271","70.",1
"1272","701",1
"1273","702",2
"1274","703",2
"1275","704",2
"1276","706",1
"1277","708",1
"1278","71",19
"1279","71,596",2
"1280","71,874",2
"1281","710",2
"1282","714",4
"1283","72",27
"1284","72,205",1
"1285","72,296",1
"1286","72,321",2
"1287","72,384",2
"1288","72,627",1
"1289","72,800",1
"1290","72,923",1
"1291","725",1
"1292","73",20
"1293","73,625",1
"1294","730",1
"1295","731",2
"1296","74",27
"1297","74,000",2
"1298","74,176",1
"1299","74,182",2
"1300","74,289",1
"1301","74,300",1
"1302","74,311",1
"1303","74,442",2
"1304","741",2
"1305","743",5
"1306","75",17
"1307","75,097",1
"1308","75,470",1
"1309","75,800",1
"1310","75,957",1
"1311","750",1
"1312","758",1
"1313","76",11
"1314","76,245",1
"1315","76,412",3
"1316","76,718",2
"1317","76,989",1
"1318","766",2
"1319","77",33
"1320","77,081",2
"1321","77,101",1
"1322","77,376",2
"1323","77,421",3
"1324","78",22
"1325","78,309",1
"1326","78,672",1
"1327","78,732",2
"1328","78.2",1
"1329","78.3",1
"1330","783",1
"1331","785",3
"1332","786",1
"1333","789",1
"1334","79",11
"1335","79,000",1
"1336","79,007",1
"1337","79.",1
"1338","8,098",1
"1339","8,129",1
"1340","8,134",1
"1341","8,135",1
"1342","8,502",2
"1343","8,509",1
"1344","8,738",1
"1345","8,763",2
"1346","8,766",1
"1347","8,786",1
"1348","8,866",2
"1349","8,867",1
"1350","8,917",1
"1351","8,967",3
"1352","8.00",2
"1353","8.3",1
"1354","80",25
"1355","80,447",1
"1356","80,500",1
"1357","80,603",1
"1358","80,978",1
"1359","80,981",2
"1360","800",1
"1361","81",20
"1362","81,618",2
"1363","81,933",1
"1364","82",13
"1365","82,489",1
"1366","82,513",4
"1367","82,641",1
"1368","82,774",1
"1369","82.54",1
"1370","83",21
"1371","83,166",2
"1372","83,203",1
"1373","834",1
"1374","835",1
"1375","837",1
"1376","84",19
"1377","84,429",1
"1378","84,517",1
"1379","84,590",2
"1380","84,599",1
"1381","84,845",2
"1382","85",28
"1383","85,034",1
"1384","85,250",2
"1385","85,353",2
"1386","85,669",2
"1387","85,887",3
"1388","85,945",2
"1389","85.",1
"1390","85.00",6
"1391","850",4
"1392","850번길",1
"1393","86",31
"1394","86,096",1
"1395","86,385",1
"1396","86,565",1
"1397","86,674",1
"1398","864",1
"1399","87",9
"1400","87,419",2
"1401","870",1
"1402","872",1
"1403","873",1
"1404","88",26
"1405","88,115",2
"1406","88,116",6
"1407","88,554",2
"1408","88,972",4
"1409","880",3
"1410","881",1
"1411","882",1
"1412","883",1
"1413","89",19
"1414","89,412",1
"1415","89,691",1
"1416","89,692",1
"1417","89,723",1
"1418","9(3)",1
"1419","9,000",2
"1420","9,032",2
"1421","9,052",1
"1422","9,164",1
"1423","9,174",4
"1424","9,411",3
"1425","9,458",3
"1426","9,459",2
"1427","9,508",1
"1428","9,537",1
"1429","9,551",1
"1430","9,600",1
"1431","9,618",2
"1432","9,619",1
"1433","9,639",3
"1434","9,640",2
"1435","9,664",7
"1436","9,754",1
"1437","9,835",1
"1438","9,901",1
"1439","9,916",2
"1440","9,929",1
"1441","9,980",2
"1442","9,981",1
"1443","9.",1
"1444","9.4",1
"1445","9.6",1
"1446","9.74",2
"1447","9.8",1
"1448","90",29
"1449","90,000",3
"1450","90,720",1
"1451","900",3
"1452","908",1
"1453","909",1
"1454","91",13
"1455","91,595",1
"1456","91,835",1
"1457","919",2
"1458","92",23
"1459","92,502",1
"1460","927",1
"1461","93",12
"1462","93,597",2
"1463","93,876",1
"1464","933",1
"1465","934",1
"1466","935",1
"1467","94",25
"1468","94,056",1
"1469","94,645",7
"1470","94,794",1
"1471","94.4",1
"1472","946",2
"1473","95",24
"1474","95,484",4
"1475","95,605",1
"1476","95,606",1
"1477","950",1
"1478","957",2
"1479","958",1
"1480","96",24
"1481","96,143",4
"1482","96.0",1
"1483","97",24
"1484","97,409",2
"1485","97,669",1
"1486","972",1
"1487","98",15
"1488","98,858",1
"1489","99",19
"1490","99,277",2
"1491","99,378",2
"1492","99,430",1
"1493","99,564",5
"1494","99,738",7
"1495","99,841",1
"1496","99,992",1
"1497","99.",2
"1498","996",1
"1499","997",1
"1500","A.한국콜",2
"1501","AAA",4
"1502","ABCP",1
"1503","ADT캡스",1
"1504","along",6
"1505","an",1
"1506","and",20
"1507","AP",3
"1508","ASK1",1
"1509","ASP",1
"1510","Atomy",6
"1511","Awards",1
"1512","B.씨제이",3
"1513","B2B",2
"1514","B2C",1
"1515","Bank",7
"1516","Barrie",1
"1517","BD",1
"1518","Better",1
"1519","Bio",1
"1520","Bld",1
"1521","by",1
"1522","C&D",1
"1523","CAD",11
"1524","Canad",1
"1525","Canada",7
"1526","CANADA",3
"1527","Capa",1
"1528","CAPA",3
"1529","care",1
"1530","Care",6
"1531","CEP",1
"1532","CF",1
"1533","CGMP",3
"1534","Chin",2
"1535","China",3
"1536","CHINA",2
"1537","CJ",22
"1538","CKR",1
"1539","Class",1
